satellite_name,cospar_id,norad_id,object_type,status_code,owner_code,launch_date,launch_site,decay_date,period_min,inclination_deg,apogee_km,perigee_km,radar_cross_section,data_status_code,orbit_center,orbit_type,age_years,avg_altitude_km,orbit_class
COSMOS 1365,1982-043A,13175,PAY,,CIS,1982-05-14,TYMSC,,103.61,65.07,960.0,899.0,2.387,,EA,ORB,43.90691307323751,929.5,LEO
COSMOS 1366,1982-044A,13177,PAY,,CIS,1982-05-17,TYMSC,,1435.87,8.46,35817.0,35747.0,0.17,,EA,ORB,43.898699520876114,35782.0,GEO
COSMOS 1367,1982-045A,13205,PAY,,CIS,1982-05-20,PLMSC,,718.33,71.98,33391.0,6991.0,15.5699,,EA,ORB,43.89048596851472,20191.0,MEO
COSMOS 1371,1982-051A,13241,PAY,,CIS,1982-06-01,PLMSC,,100.52,74.05,792.0,774.0,1.9413,,EA,ORB,43.85763175906913,783.0,LEO
COSMOS 1372,1982-052A,13243,PAY,,CIS,1982-06-01,TYMSC,,103.89,64.9,978.0,906.0,2.268,,EA,ORB,43.85763175906913,942.0,LEO
COSMOS 1375,1982-055A,13259,PAY,,CIS,1982-06-06,PLMSC,,103.98,65.83,966.0,927.0,0.8967,,EA,ORB,43.84394250513347,946.5,LEO
WESTAR 5,1982-058A,13269,PAY,,US,1982-06-09,AFETR,,1451.43,13.19,36161.0,36012.0,3.0722,,EA,ORB,43.83572895277207,36086.5,GEO
COSMOS 1382,1982-064A,13295,PAY,,CIS,1982-06-25,PLMSC,,718.87,62.2,39479.0,929.0,8.2706,,EA,ORB,43.79192334017796,20204.0,MEO
COSMOS 1383,1982-066A,13301,PAY,-,CIS,1982-06-29,PLMSC,,105.19,82.93,1025.0,982.0,2.5991,,EA,ORB,43.780971937029435,1003.5,LEO
COSMOS 1386,1982-069A,13353,PAY,,CIS,1982-07-07,PLMSC,,104.6,82.96,1003.0,948.0,2.0842,,EA,ORB,43.75906913073238,975.5,LEO
COSMOS 1388,1982-073A,13375,PAY,,CIS,1982-07-21,PLMSC,,114.51,74.01,1475.0,1392.0,0.6729,,EA,ORB,43.72073921971253,1433.5,LEO
COSMOS 1389,1982-073B,13376,PAY,,CIS,1982-07-21,PLMSC,,114.7,74.02,1475.0,1409.0,0.673,,EA,ORB,43.72073921971253,1442.0,LEO
COSMOS 1390,1982-073C,13377,PAY,,CIS,1982-07-21,PLMSC,,114.89,74.01,1474.0,1427.0,0.675,,EA,ORB,43.72073921971253,1450.5,LEO
COSMOS 1391,1982-073D,13378,PAY,,CIS,1982-07-21,PLMSC,,115.07,74.02,1475.0,1442.0,0.6542,,EA,ORB,43.72073921971253,1458.5,LEO
COSMOS 1392,1982-073E,13379,PAY,,CIS,1982-07-21,PLMSC,,115.26,74.01,1475.0,1459.0,0.685,,EA,ORB,43.72073921971253,1467.0,LEO
COSMOS 1393,1982-073F,13380,PAY,,CIS,1982-07-21,PLMSC,,115.45,74.01,1482.0,1470.0,0.6763,,EA,ORB,43.72073921971253,1476.0,LEO
COSMOS 1394,1982-073G,13381,PAY,,CIS,1982-07-21,PLMSC,,115.64,74.01,1496.0,1474.0,0.6783,,EA,ORB,43.72073921971253,1485.0,LEO
COSMOS 1395,1982-073H,13382,PAY,,CIS,1982-07-21,PLMSC,,115.86,74.02,1516.0,1473.0,0.6938,,EA,ORB,43.72073921971253,1494.5,LEO
ANIK D1 (TELESAT 6),1982-082A,13431,PAY,-,CA,1982-08-26,AFETR,,1438.1,12.29,35858.0,35793.0,1.5887,,EA,ORB,43.62217659137577,35825.5,GEO
KIKU-4 (ETS-III),1982-087A,13492,PAY,-,JPN,1982-09-03,TANSC,,105.01,44.62,1003.0,987.0,2.043,,EA,ORB,43.60027378507871,995.0,LEO
EKRAN 9,1982-093A,13554,PAY,-,CIS,1982-09-16,TYMSC,,1436.5,7.24,35912.0,35677.0,0.5011,,EA,ORB,43.564681724846,35794.5,GEO
COSMOS 1410,1982-096A,13589,PAY,,CIS,1982-09-24,PLMSC,,115.91,82.61,1503.0,1491.0,9.334,,EA,ORB,43.54277891854894,1497.0,LEO
INTELSAT 505,1982-097A,13595,PAY,-,ITSO,1982-09-28,AFETR,,1463.3,12.22,36401.0,36234.0,4.5072,,EA,ORB,43.53182751540041,36317.5,HEO
COSMOS 1412,1982-099A,13600,PAY,,CIS,1982-10-02,TYMSC,,103.87,64.81,974.0,909.0,2.388,,EA,ORB,43.520876112251884,941.5,LEO
COSMOS 1413 [GLONASS],1982-100A,13603,PAY,-,CIS,1982-10-12,TYMSC,,673.32,64.83,19090.0,19048.0,0.4302,,EA,ORB,43.493497604380565,19069.0,MEO
COSMOS 1414 [GLONASS],1982-100D,13606,PAY,-,CIS,1982-10-12,TYMSC,,675.73,64.76,19330.0,18929.0,0.9297,,EA,ORB,43.493497604380565,19129.5,MEO
COSMOS 1415 [GLONASS],1982-100E,13607,PAY,-,CIS,1982-10-12,TYMSC,,673.49,64.82,19086.0,19061.0,0.3408,,EA,ORB,43.493497604380565,19073.5,MEO
COSMOS 1417,1982-102A,13617,PAY,,CIS,1982-10-19,PLMSC,,104.68,82.97,1004.0,955.0,2.3581,,EA,ORB,43.474332648870636,979.5,LEO
GORIZONT 6,1982-103A,13624,PAY,-,CIS,1982-10-20,TYMSC,,1436.1,7.49,35800.0,35773.0,3.1622,,EA,ORB,43.4715947980835,35786.5,GEO
SATCOM C5,1982-105A,13631,PAY,-,US,1982-10-28,AFETR,,1436.07,12.18,35813.0,35760.0,7.0732,,EA,ORB,43.449691991786445,35786.5,GEO
DSCS 2-15,1982-106A,13636,PAY,-,US,1982-10-30,AFETR,,1514.36,12.21,37316.0,37294.0,4.054,,EA,ORB,43.44421629021218,37305.0,HEO
DSCS 3-1,1982-106B,13637,PAY,-,US,1982-10-30,AFETR,,1471.96,12.49,36556.0,36416.0,7.1337,,EA,ORB,43.44421629021218,36486.0,HEO
COSMOS 1420,1982-109A,13648,PAY,,CIS,1982-11-11,PLMSC,,100.36,73.99,789.0,762.0,2.6099,,EA,ORB,43.4113620807666,775.5,LEO
SBS 3,1982-110B,13651,PAY,,US,1982-11-11,AFETR,,1440.86,12.58,35905.0,35855.0,15.8489,,EA,ORB,43.4113620807666,35880.0,GEO
ANIK C3 (TELESAT 5),1982-110C,13652,PAY,-,CA,1982-11-11,AFETR,,1441.47,12.55,35900.0,35883.0,2.8757,,EA,ORB,43.4113620807666,35891.5,GEO
RADUGA 11,1982-113A,13669,PAY,-,CIS,1982-11-26,TYMSC,,1473.74,9.34,36700.0,36341.0,2.2387,,EA,ORB,43.370294318959616,36520.5,HEO
METEOR 2-9,1982-116A,13718,PAY,,CIS,1982-12-14,PLMSC,,101.7,81.25,878.0,800.0,4.592,,EA,ORB,43.32101300479124,839.0,LEO
OPS 9845 (DMSP 5D-2 F6),1982-118A,13736,PAY,-,US,1982-12-21,AFWTR,,100.66,98.59,796.0,784.0,3.3278,,EA,ORB,43.30184804928131,790.0,LEO
COSMOS 1428,1983-001A,13757,PAY,,CIS,1983-01-12,PLMSC,,104.57,82.91,1001.0,948.0,3.0148,,EA,ORB,43.24161533196441,974.5,LEO
COSMOS 1429,1983-002A,13761,PAY,,CIS,1983-01-19,PLMSC,,115.81,74.02,1518.0,1466.0,0.6687,,EA,ORB,43.22245037645448,1492.0,LEO
COSMOS 1430,1983-002B,13762,PAY,,CIS,1983-01-19,PLMSC,,115.6,74.02,1498.0,1467.0,0.6905,,EA,ORB,43.22245037645448,1482.5,LEO
COSMOS 1431,1983-002C,13763,PAY,,CIS,1983-01-19,PLMSC,,115.41,74.02,1483.0,1465.0,0.6495,,EA,ORB,43.22245037645448,1474.0,LEO
COSMOS 1432,1983-002D,13764,PAY,,CIS,1983-01-19,PLMSC,,115.21,74.02,1468.0,1462.0,0.6697,,EA,ORB,43.22245037645448,1465.0,LEO
COSMOS 1433,1983-002E,13765,PAY,,CIS,1983-01-19,PLMSC,,115.02,74.03,1467.0,1446.0,0.7032,,EA,ORB,43.22245037645448,1456.5,LEO
COSMOS 1434,1983-002F,13766,PAY,,CIS,1983-01-19,PLMSC,,114.85,74.02,1467.0,1430.0,0.6562,,EA,ORB,43.22245037645448,1448.5,LEO
COSMOS 1435,1983-002G,13767,PAY,,CIS,1983-01-19,PLMSC,,114.68,74.03,1468.0,1414.0,0.6787,,EA,ORB,43.22245037645448,1441.0,LEO
COSMOS 1436,1983-002H,13768,PAY,,CIS,1983-01-19,PLMSC,,114.49,74.02,1466.0,1398.0,0.694,,EA,ORB,43.22245037645448,1432.0,LEO
IRAS,1983-004A,13777,PAY,-,US,1983-01-26,AFWTR,,102.79,99.05,905.0,876.0,3.9914,,EA,ORB,43.20328542094456,890.5,LEO
SAKURA-2A (CS-2A),1983-006A,13782,PAY,-,JPN,1983-02-04,TANSC,,1448.56,10.4,36082.0,35978.0,5.8102,,EA,ORB,43.17864476386037,36030.0,GEO
OPS 0252,1983-008A,13791,PAY,,US,1983-02-09,AFWTR,,103.83,63.31,1441.0,438.0,,,EA,ORB,43.16495550992471,939.5,LEO
SSD,1983-008B,13792,PAY,,US,1983-02-09,AFWTR,,106.87,63.34,1505.0,658.0,,,EA,ORB,43.16495550992471,1081.5,LEO
SSA,1983-008E,13844,PAY,,US,1983-02-09,AFWTR,,104.54,63.3,1501.0,445.0,,,EA,ORB,43.16495550992471,973.0,LEO
SSB,1983-008F,13845,PAY,,US,1983-02-09,AFWTR,,104.48,63.31,1495.0,446.0,,,EA,ORB,43.16495550992471,970.5,LEO
SSC,1983-008H,13874,PAY,,US,1983-02-09,AFWTR,,104.3,63.31,1485.0,438.0,,,EA,ORB,43.16495550992471,961.5,LEO
MOLNIYA 3-20,1983-015A,13875,PAY,,CIS,1983-03-11,PLMSC,,718.55,61.94,39047.0,1346.0,15.4143,,EA,ORB,43.082819986310746,20196.5,MEO
EKRAN 10,1983-016A,13878,PAY,-,CIS,1983-03-12,TYMSC,,1515.3,10.55,37468.0,37178.0,6.6191,,EA,ORB,43.08008213552361,37323.0,HEO
MOLNIYA 1-56,1983-019A,13890,PAY,,CIS,1983-03-16,PLMSC,,719.79,62.55,38851.0,1603.0,14.522,,EA,ORB,43.069130732375086,20227.0,MEO
ASTRON,1983-020A,13901,PAY,-,CIS,1983-03-23,TYMSC,,5929.03,78.34,174460.0,29811.0,7.9432,,EA,ORB,43.04996577686516,102135.5,HEO
OV2-3,1965-108V,13912,PAY,,US,1965-12-21,AFETR,,271.83,26.55,14792.0,252.0,2.6441,,EA,ORB,60.30116358658453,7522.0,MEO
COSMOS 1447,1983-021A,13916,PAY,-,CIS,1983-03-24,PLMSC,,104.7,82.95,1009.0,952.0,1.9629,,EA,ORB,43.04722792607803,980.5,LEO
NOAA 8,1983-022A,13923,PAY,-,US,1983-03-28,AFWTR,,100.71,98.74,804.0,781.0,3.9923,,EA,ORB,43.0362765229295,792.5,LEO
COSMOS 1448,1983-023A,13949,PAY,,CIS,1983-03-30,PLMSC,,104.64,82.95,999.0,957.0,1.9243,,EA,ORB,43.030800821355236,978.0,LEO
TDRS 1,1983-026B,13969,PAY,-,US,1983-04-04,AFETR,,1458.29,8.79,36302.0,36138.0,22.1577,,EA,ORB,43.017111567419576,36220.0,GEO
RADUGA 12,1983-028A,13974,PAY,-,CIS,1983-04-08,TYMSC,,1436.38,8.34,35803.0,35781.0,7.7043,,EA,ORB,43.006160164271044,35792.0,GEO
SATCOM 1R,1983-030A,13984,PAY,,US,1983-04-11,AFETR,,1442.21,13.27,35929.0,35883.0,3.181,,EA,ORB,42.997946611909654,35906.0,GEO
COSMOS 1452,1983-031A,13991,PAY,,CIS,1983-04-12,PLMSC,,100.42,74.05,790.0,767.0,1.903,,EA,ORB,42.99520876112252,778.5,LEO
GOES 6,1983-041A,14050,PAY,-,US,1983-04-28,AFETR,,1436.82,10.3,35808.0,35794.0,1.9952,,EA,ORB,42.95140314852841,35801.0,GEO
COSMOS 1459,1983-042A,14057,PAY,,CIS,1983-05-06,PLMSC,,104.59,82.97,1012.0,939.0,2.024,,EA,ORB,42.92950034223135,975.5,LEO
COSMOS 1461,1983-044A,14064,PAY,,CIS,1983-05-07,TYMSC,,93.72,64.99,490.0,423.0,8.8835,,EA,ORB,42.926762491444215,456.5,LEO
INTELSAT 506,1983-047A,14077,PAY,-,ITSO,1983-05-19,AFETR,,1452.14,12.53,36270.0,35930.0,8.3842,,EA,ORB,42.893908281998634,36100.0,GEO
COSMOS 1464,1983-048A,14084,PAY,,CIS,1983-05-24,PLMSC,,104.75,82.94,1004.0,961.0,3.165,,EA,ORB,42.88021902806297,982.5,LEO
VENERA 15,1983-053A,14104,PAY,,CIS,1983-06-02,TYMSC,,,,,,,NEA,VE,ORB,42.85557837097878,,UNKNOWN
VENERA 16,1983-054A,14107,PAY,,CIS,1983-06-07,TYMSC,,,,,,,NEA,VE,ORB,42.841889117043124,,UNKNOWN
OPS 6432,1983-056A,14112,PAY,,US,1983-06-09,AFWTR,,103.7,63.31,1443.0,424.0,,,EA,ORB,42.836413415468854,933.5,LEO
EUTELSAT 1-F1 (ECS 1),1983-058A,14128,PAY,-,EUTE,1983-06-16,FRGUI,,1456.42,11.93,36216.0,36151.0,3.1622,,EA,ORB,42.81724845995893,36183.5,GEO
PHASE 3B (AO-10),1983-058B,14129,PAY,P,GER,1983-06-16,FRGUI,,699.46,25.9,35478.0,3969.0,1.0067,,EA,ORB,42.81724845995893,19723.5,MEO
NAHUEL I2 (ANIK C2),1983-059B,14133,PAY,-,ARGN,1983-06-18,AFETR,,1452.73,12.98,36264.0,35959.0,2.1865,,EA,ORB,42.81177275838467,36111.5,GEO
PALAPA B1,1983-059C,14134,PAY,-,INDO,1983-06-18,AFETR,,1437.51,11.68,35824.0,35804.0,1.2589,,EA,ORB,42.81177275838467,35814.0,GEO
OPS 3899,1983-060C,14139,PAY,,US,1983-06-20,AFWTR,,111.28,96.68,1287.0,1285.0,,,EA,ORB,42.8062970568104,1286.0,LEO
GB 1,1983-056C,14143,PAY,,US,1983-06-09,AFWTR,,104.46,63.31,1506.0,432.0,,,EA,ORB,42.836413415468854,969.0,LEO
GB 2,1983-056D,14144,PAY,,US,1983-06-09,AFWTR,,104.48,63.31,1506.0,434.0,,,EA,ORB,42.836413415468854,970.0,LEO
COSMOS 1470,1983-061A,14147,PAY,,CIS,1983-06-23,PLMSC,,93.19,82.47,434.0,427.0,7.6377,,EA,ORB,42.79808350444901,430.5,LEO
HILAT,1983-063A,14154,PAY,,US,1983-06-27,AFWTR,,100.09,82.03,792.0,734.0,1.1875,,EA,ORB,42.78713210130048,763.0,LEO
GALAXY 1 (G-1),1983-065A,14158,PAY,-,US,1983-06-28,AFETR,,1438.1,13.65,35840.0,35812.0,5.2616,,EA,ORB,42.784394250513344,35826.0,GEO
GORIZONT 7,1983-066A,14160,PAY,-,CIS,1983-06-30,TYMSC,,1464.17,9.46,36393.0,36276.0,1.3728,,EA,ORB,42.77891854893908,36334.5,HEO
PROGNOZ 9,1983-067A,14163,PAY,,CIS,1983-07-01,TYMSC,,,,,,,,EM,ORB,42.776180698151954,,UNKNOWN
COSMOS 1473,1983-069A,14171,PAY,,CIS,1983-07-06,PLMSC,,114.4,74.02,1462.0,1394.0,0.684,,EA,ORB,42.76249144421629,1428.0,LEO
COSMOS 1474,1983-069B,14172,PAY,,CIS,1983-07-06,PLMSC,,114.59,74.03,1462.0,1411.0,0.6692,,EA,ORB,42.76249144421629,1436.5,LEO
COSMOS 1475,1983-069C,14173,PAY,,CIS,1983-07-06,PLMSC,,114.78,74.02,1463.0,1428.0,0.6969,,EA,ORB,42.76249144421629,1445.5,LEO
COSMOS 1476,1983-069D,14174,PAY,,CIS,1983-07-06,PLMSC,,114.97,74.03,1463.0,1445.0,0.679,,EA,ORB,42.76249144421629,1454.0,LEO
COSMOS 1477,1983-069E,14175,PAY,,CIS,1983-07-06,PLMSC,,115.16,74.03,1465.0,1460.0,0.652,,EA,ORB,42.76249144421629,1462.5,LEO
COSMOS 1478,1983-069F,14176,PAY,,CIS,1983-07-06,PLMSC,,115.36,74.02,1482.0,1462.0,0.6798,,EA,ORB,42.76249144421629,1472.0,LEO
COSMOS 1479,1983-069G,14177,PAY,,CIS,1983-07-06,PLMSC,,115.56,74.03,1499.0,1463.0,0.6939,,EA,ORB,42.76249144421629,1481.0,LEO
COSMOS 1480,1983-069H,14178,PAY,,CIS,1983-07-06,PLMSC,,115.78,74.03,1519.0,1463.0,0.6902,,EA,ORB,42.76249144421629,1491.0,LEO
GB 3,1983-056G,14180,PAY,,US,1983-06-09,AFWTR,,104.23,63.31,1494.0,423.0,,,EA,ORB,42.836413415468854,958.5,LEO
COSMOS 1481,1983-070A,14182,PAY,,CIS,1983-07-08,PLMSC,,707.34,70.62,34673.0,5166.0,7.0892,,EA,ORB,42.757015742642025,19919.5,MEO
NAVSTAR 8 (OPS 9794),1983-072A,14189,PAY,-,US,1983-07-14,AFWTR,,751.1,63.39,21598.0,20388.0,0.4778,,EA,ORB,42.74058863791923,20993.0,MEO
ARABSAT-1DR (TELSTAR 3A),1983-077A,14234,PAY,-,AB,1983-07-28,AFETR,,1446.81,13.83,36093.0,35899.0,2.5165,,EA,ORB,42.70225872689939,35996.0,GEO
OPS 7304,1983-078A,14237,PAY,,US,1983-07-31,AFWTR,,,,,,,NEA,EA,ORB,42.69404517453799,,UNKNOWN
COSMOS 1486,1983-079A,14240,PAY,,CIS,1983-08-03,PLMSC,,100.36,74.06,784.0,767.0,1.9323,,EA,ORB,42.68583162217659,775.5,LEO
SAKURA-2B (CS-2B),1983-081A,14248,PAY,-,JPN,1983-08-05,TANSC,,1457.34,11.19,36222.0,36181.0,8.7893,,EA,ORB,42.680355920602324,36201.5,GEO
COSMOS 1490 [GLONASS],1983-084A,14258,PAY,-,CIS,1983-08-10,TYMSC,,675.73,64.81,19169.0,19090.0,2.6273,,EA,ORB,42.666666666666664,19129.5,MEO
COSMOS 1491 [GLONASS],1983-084B,14259,PAY,-,CIS,1983-08-10,TYMSC,,668.42,64.98,18998.0,18893.0,2.4918,,EA,ORB,42.666666666666664,18945.5,MEO
COSMOS 1492 [GLONASS],1983-084C,14260,PAY,-,CIS,1983-08-10,TYMSC,,676.82,64.77,19162.0,19152.0,0.3319,,EA,ORB,42.666666666666664,19157.0,MEO
RADUGA 13,1983-088A,14307,PAY,-,CIS,1983-08-25,TYMSC,,1466.78,9.66,36466.0,36304.0,2.0004,,EA,ORB,42.625598904859686,36385.0,HEO
INSAT-1B,1983-089B,14318,PAY,-,IND,1983-08-30,AFETR,,1437.58,11.26,35852.0,35780.0,3.9811,,EA,ORB,42.61190965092403,35816.0,GEO
SATCOM 2R,1983-094A,14328,PAY,,US,1983-09-08,AFETR,,1448.54,14.35,36096.0,35963.0,4.0101,,EA,ORB,42.587268993839835,36029.5,GEO
GALAXY 2 (G-2),1983-098A,14365,PAY,-,US,1983-09-22,AFETR,,1437.37,13.66,35828.0,35795.0,0.8912,,EA,ORB,42.548939082819984,35811.5,GEO
EKRAN 11,1983-100A,14377,PAY,-,CIS,1983-09-29,TYMSC,,1435.69,7.92,35793.0,35764.0,1.2589,,EA,ORB,42.52977412731006,35778.5,GEO
COSMOS 1503,1983-103A,14401,PAY,,CIS,1983-10-12,PLMSC,,100.48,74.04,791.0,772.0,2.0418,,EA,ORB,42.49418206707735,781.5,LEO
INTELSAT 507,1983-105A,14421,PAY,-,ITSO,1983-10-19,FRGUI,,1444.33,12.05,35965.0,35930.0,6.3095,,EA,ORB,42.47501711156742,35947.5,GEO
COSMOS 1506,1983-108A,14450,PAY,,CIS,1983-10-26,PLMSC,,104.61,82.93,1007.0,945.0,1.5637,,EA,ORB,42.455852156057496,976.0,LEO
METEOR 2-10,1983-109A,14452,PAY,,CIS,1983-10-28,PLMSC,,100.89,81.16,866.0,736.0,4.7566,,EA,ORB,42.450376454483234,801.0,LEO
COSMOS 1508,1983-111A,14483,PAY,,CIS,1983-11-11,PLMSC,,102.34,82.89,1357.0,382.0,2.914,,EA,ORB,42.41204654346338,869.5,LEO
OPS 1294 (DMSP 5D-2 F7),1983-113A,14506,PAY,-,US,1983-11-18,AFWTR,,100.71,98.42,801.0,784.0,3.5984,,EA,ORB,42.392881587953454,792.5,LEO
COSMOS 1510,1983-115A,14521,PAY,,CIS,1983-11-24,PLMSC,,116.02,73.62,1523.0,1480.0,9.5233,,EA,ORB,42.37645448323067,1501.5,LEO
GORIZONT 8,1983-118A,14532,PAY,-,CIS,1983-11-30,TYMSC,,1465.32,9.72,36464.0,36249.0,1.9093,,EA,ORB,42.36002737850787,36356.5,HEO
COSMOS 1513,1983-120A,14546,PAY,,CIS,1983-12-08,PLMSC,,104.77,82.93,1013.0,954.0,2.3509,,EA,ORB,42.338124572210816,983.5,LEO
COSMOS 1519 [GLONASS],1983-127A,14590,PAY,-,CIS,1983-12-29,TYMSC,,675.74,66.45,19156.0,19104.0,1.0482,,EA,ORB,42.280629705681044,19130.0,MEO
COSMOS 1520 [GLONASS],1983-127B,14591,PAY,-,CIS,1983-12-29,TYMSC,,675.73,66.44,19190.0,19070.0,1.082,,EA,ORB,42.280629705681044,19130.0,MEO
COSMOS 1521 [GLONASS],1983-127C,14592,PAY,-,CIS,1983-12-29,TYMSC,,673.41,66.33,19230.0,18912.0,0.4298,,EA,ORB,42.280629705681044,19071.0,MEO
COSMOS 1522,1984-001A,14611,PAY,,CIS,1984-01-05,PLMSC,,115.47,74.01,1493.0,1461.0,0.6966,,EA,ORB,42.261464750171115,1477.0,LEO
COSMOS 1523,1984-001B,14612,PAY,,CIS,1984-01-05,PLMSC,,114.41,74.0,1461.0,1396.0,0.7011,,EA,ORB,42.261464750171115,1428.5,LEO
COSMOS 1524,1984-001C,14613,PAY,,CIS,1984-01-05,PLMSC,,114.58,74.01,1461.0,1412.0,0.6757,,EA,ORB,42.261464750171115,1436.5,LEO
COSMOS 1525,1984-001D,14614,PAY,,CIS,1984-01-05,PLMSC,,114.75,74.01,1461.0,1427.0,0.686,,EA,ORB,42.261464750171115,1444.0,LEO
COSMOS 1526,1984-001E,14615,PAY,,CIS,1984-01-05,PLMSC,,114.92,74.01,1461.0,1442.0,0.6819,,EA,ORB,42.261464750171115,1451.5,LEO
COSMOS 1527,1984-001F,14616,PAY,,CIS,1984-01-05,PLMSC,,115.1,74.01,1462.0,1458.0,0.662,,EA,ORB,42.261464750171115,1460.0,LEO
COSMOS 1528,1984-001G,14617,PAY,,CIS,1984-01-05,PLMSC,,115.29,74.01,1477.0,1460.0,0.6865,,EA,ORB,42.261464750171115,1468.5,LEO
COSMOS 1529,1984-001H,14618,PAY,,CIS,1984-01-05,PLMSC,,115.68,74.01,1511.0,1461.0,0.6689,,EA,ORB,42.261464750171115,1486.0,LEO
COSMOS 1531,1984-003A,14624,PAY,,CIS,1984-01-11,PLMSC,,104.92,82.94,1004.0,977.0,1.9255,,EA,ORB,42.24503764544832,990.5,LEO
YURI-2A (BS-2A),1984-005A,14659,PAY,-,JPN,1984-01-23,TANSC,,1453.75,11.16,36183.0,36080.0,5.0119,,EA,ORB,42.21218343600274,36131.5,GEO
STTW-T1,1984-008A,14670,PAY,,PRC,1984-01-29,XICLF,,159.26,36.11,6241.0,468.0,3.8481,,EA,ORB,42.195756331279945,3354.5,MEO
OPS 0441,1984-009A,14675,PAY,,US,1984-01-31,AFETR,,1435.21,6.07,39489.0,32049.0,,,EA,ORB,42.19028062970568,35769.0,GEO
COSMOS 1535,1984-010A,14679,PAY,,CIS,1984-02-02,PLMSC,,104.69,82.96,1011.0,949.0,2.0723,,EA,ORB,42.18480492813142,980.0,LEO
OPS 8737,1984-012A,14690,PAY,,US,1984-02-05,AFWTR,,101.84,63.3,1304.0,388.0,,,EA,ORB,42.17659137577002,846.0,LEO
COSMOS 1536,1984-013A,14699,PAY,,CIS,1984-02-08,PLMSC,,94.47,82.54,503.0,483.0,6.2222,,EA,ORB,42.168377823408626,493.0,LEO
RADUGA 14,1984-016A,14725,PAY,-,CIS,1984-02-15,TYMSC,,1435.7,8.7,35784.0,35774.0,0.1428,,EA,ORB,42.1492128678987,35779.0,GEO
JD 1,1984-012C,14728,PAY,,US,1984-02-05,AFWTR,,104.76,63.31,1538.0,429.0,,,EA,ORB,42.17659137577002,983.5,LEO
JD 2,1984-012D,14729,PAY,,US,1984-02-05,AFWTR,,104.67,63.31,1531.0,427.0,,,EA,ORB,42.17659137577002,979.0,LEO
COSMOS 1538,1984-019A,14759,PAY,,CIS,1984-02-21,PLMSC,,100.38,74.04,792.0,761.0,1.8428,,EA,ORB,42.13278576317591,776.5,LEO
LANDSAT 5,1984-021A,14780,PAY,-,US,1984-03-01,AFWTR,,95.73,98.07,602.0,506.0,8.406,,EA,ORB,42.10814510609172,554.0,LEO
UOSAT 2 (UO-11),1984-021B,14781,PAY,P,UK,1984-03-01,AFWTR,,96.6,97.8,602.0,590.0,0.4029,,EA,ORB,42.10814510609172,596.0,LEO
COSMOS 1540,1984-022A,14783,PAY,,CIS,1984-03-02,TYMSC,,1435.92,9.46,35814.0,35753.0,0.1428,,EA,ORB,42.105407255304584,35783.5,GEO
INTELSAT 508,1984-023A,14786,PAY,-,ITSO,1984-03-05,FRGUI,,1480.07,13.69,36719.0,36566.0,7.4438,,EA,ORB,42.09719370294319,36642.5,HEO
COSMOS 1541,1984-024A,14790,PAY,,CIS,1984-03-06,PLMSC,,717.92,71.72,33872.0,6490.0,7.4793,,EA,ORB,42.09445585215606,20181.0,MEO
JD 3,1984-012F,14795,PAY,,US,1984-02-05,AFWTR,,103.66,63.3,1463.0,400.0,,,EA,ORB,42.17659137577002,931.5,LEO
EKRAN 12,1984-028A,14821,PAY,-,CIS,1984-03-16,TYMSC,,1499.03,10.44,37033.0,36986.0,6.2029,,EA,ORB,42.06707734428473,37009.5,HEO
COSMOS 1546,1984-031A,14867,PAY,,CIS,1984-03-29,TYMSC,,1436.3,8.81,35896.0,35685.0,0.1428,,EA,ORB,42.03148528405202,35790.5,GEO
COSMOS 1547,1984-033A,14884,PAY,,CIS,1984-04-04,PLMSC,,718.99,72.86,35329.0,5085.0,7.0194,,EA,ORB,42.01505817932922,20207.0,MEO
STTW-T2,1984-035A,14899,PAY,-,PRC,1984-04-08,XICLF,,1436.36,9.57,35816.0,35767.0,3.981,,EA,ORB,42.0041067761807,35791.5,GEO
OPS 7641 (DSP 11),1984-037A,14930,PAY,,US,1984-04-14,AFETR,,1459.27,10.32,36275.0,36203.0,,,EA,ORB,41.987679671457904,36239.0,GEO
GORIZONT 9,1984-041A,14940,PAY,-,CIS,1984-04-22,TYMSC,,1435.54,8.88,35799.0,35753.0,4.4668,,EA,ORB,41.96577686516085,35776.0,GEO
COSMOS 1550,1984-043A,14965,PAY,,CIS,1984-05-11,PLMSC,,104.88,82.97,1007.0,970.0,2.0072,,EA,ORB,41.91375770020534,988.5,LEO
COSMOS 1553,1984-046A,14973,PAY,,CIS,1984-05-17,PLMSC,,104.68,82.93,1004.0,955.0,2.031,,EA,ORB,41.89733059548254,979.5,LEO
COSMOS 1554 [GLONASS],1984-047A,14977,PAY,-,CIS,1984-05-19,TYMSC,,675.74,66.4,19175.0,19085.0,1.6213,,EA,ORB,41.89185489390828,19130.0,MEO
COSMOS 1555 [GLONASS],1984-047B,14978,PAY,-,CIS,1984-05-19,TYMSC,,675.73,66.41,19160.0,19100.0,0.5583,,EA,ORB,41.89185489390828,19130.0,MEO
COSMOS 1556 [GLONASS],1984-047C,14979,PAY,-,CIS,1984-05-19,TYMSC,,676.33,66.45,19170.0,19120.0,0.4342,,EA,ORB,41.89185489390828,19145.0,MEO
