satellite_name,cospar_id,norad_id,object_type,status_code,owner_code,launch_date,launch_site,decay_date,period_min,inclination_deg,apogee_km,perigee_km,radar_cross_section,data_status_code,orbit_center,orbit_type,age_years,avg_altitude_km,orbit_class
STARLINK-31636,2024-090T,59747,PAY,+,US,2024-05-13,AFETR,,94.27,43.0,484.0,483.0,,,EA,ORB,1.9082819986310746,483.5,LEO
STARLINK-31640,2024-090U,59748,PAY,+,US,2024-05-13,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9082819986310746,483.0,LEO
STARLINK-31677,2024-090V,59749,PAY,+,US,2024-05-13,AFETR,,94.27,43.0,484.0,483.0,,,EA,ORB,1.9082819986310746,483.5,LEO
STARLINK-31783,2024-090W,59750,PAY,+,US,2024-05-13,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9082819986310746,483.0,LEO
STARLINK-31808,2024-090X,59751,PAY,+,US,2024-05-13,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9082819986310746,483.0,LEO
STARLINK-31822,2024-090Y,59752,PAY,+,US,2024-05-13,AFETR,,94.27,43.01,484.0,482.0,,,EA,ORB,1.9082819986310746,483.0,LEO
STARLINK-11118 [DTC],2024-091B,59754,PAY,+,US,2024-05-14,AFWTR,,91.74,53.16,361.0,359.0,,,EA,ORB,1.9055441478439425,360.0,LEO
STARLINK-11132 [DTC],2024-091C,59755,PAY,+,US,2024-05-14,AFWTR,,91.74,53.16,361.0,359.0,,,EA,ORB,1.9055441478439425,360.0,LEO
STARLINK-11131 [DTC],2024-091D,59756,PAY,+,US,2024-05-14,AFWTR,,91.74,53.16,360.0,359.0,,,EA,ORB,1.9055441478439425,359.5,LEO
STARLINK-11114 [DTC],2024-091E,59757,PAY,+,US,2024-05-14,AFWTR,,91.74,53.16,360.0,359.0,,,EA,ORB,1.9055441478439425,359.5,LEO
STARLINK-11105 [DTC],2024-091F,59758,PAY,+,US,2024-05-14,AFWTR,,91.74,53.16,361.0,359.0,,,EA,ORB,1.9055441478439425,360.0,LEO
STARLINK-11097 [DTC],2024-091G,59759,PAY,+,US,2024-05-14,AFWTR,,91.74,53.16,360.0,359.0,,,EA,ORB,1.9055441478439425,359.5,LEO
STARLINK-11098 [DTC],2024-091H,59760,PAY,+,US,2024-05-14,AFWTR,,91.74,53.16,361.0,359.0,,,EA,ORB,1.9055441478439425,360.0,LEO
STARLINK-11117 [DTC],2024-091J,59761,PAY,+,US,2024-05-14,AFWTR,,91.74,53.16,360.0,359.0,,,EA,ORB,1.9055441478439425,359.5,LEO
STARLINK-11110 [DTC],2024-091K,59762,PAY,+,US,2024-05-14,AFWTR,,91.74,53.16,361.0,359.0,,,EA,ORB,1.9055441478439425,360.0,LEO
STARLINK-11104 [DTC],2024-091L,59763,PAY,+,US,2024-05-14,AFWTR,,91.74,53.16,361.0,359.0,,,EA,ORB,1.9055441478439425,360.0,LEO
STARLINK-11111 [DTC],2024-091M,59764,PAY,+,US,2024-05-14,AFWTR,,91.74,53.16,360.0,359.0,,,EA,ORB,1.9055441478439425,359.5,LEO
STARLINK-11106 [DTC],2024-091N,59765,PAY,+,US,2024-05-14,AFWTR,,91.74,53.16,360.0,359.0,,,EA,ORB,1.9055441478439425,359.5,LEO
STARLINK-31739,2024-091P,59766,PAY,+,US,2024-05-14,AFWTR,,94.11,53.16,476.0,475.0,,,EA,ORB,1.9055441478439425,475.5,LEO
STARLINK-31828,2024-091Q,59767,PAY,+,US,2024-05-14,AFWTR,,94.11,53.16,476.0,474.0,,,EA,ORB,1.9055441478439425,475.0,LEO
STARLINK-31826,2024-091R,59768,PAY,+,US,2024-05-14,AFWTR,,93.84,53.16,466.0,459.0,,,EA,ORB,1.9055441478439425,462.5,LEO
STARLINK-31830,2024-091S,59769,PAY,+,US,2024-05-14,AFWTR,,94.11,53.16,476.0,474.0,,,EA,ORB,1.9055441478439425,475.0,LEO
STARLINK-31829,2024-091T,59770,PAY,+,US,2024-05-14,AFWTR,,94.11,53.16,476.0,475.0,,,EA,ORB,1.9055441478439425,475.5,LEO
STARLINK-31786,2024-091U,59771,PAY,+,US,2024-05-14,AFWTR,,94.11,53.16,476.0,474.0,,,EA,ORB,1.9055441478439425,475.0,LEO
STARLINK-31835,2024-091V,59772,PAY,+,US,2024-05-14,AFWTR,,94.11,53.16,476.0,474.0,,,EA,ORB,1.9055441478439425,475.0,LEO
COSMOS 2576,2024-092A,59773,PAY,+,CIS,2024-05-16,PLMSC,,94.73,97.43,514.0,497.0,,,EA,ORB,1.9000684462696784,505.5,LEO
OBJECT B,2024-092B,59774,PAY,+,CIS,2024-05-16,PLMSC,,94.27,97.64,490.0,477.0,,,EA,ORB,1.9000684462696784,483.5,LEO
OBJECT C,2024-092C,59775,PAY,+,CIS,2024-05-16,PLMSC,,94.23,97.65,488.0,474.0,,,EA,ORB,1.9000684462696784,481.0,LEO
OBJECT D,2024-092D,59776,PAY,+,CIS,2024-05-16,PLMSC,,93.84,97.65,468.0,457.0,,,EA,ORB,1.9000684462696784,462.5,LEO
OBJECT E,2024-092E,59777,PAY,+,CIS,2024-05-16,PLMSC,,93.84,97.65,468.0,457.0,,,EA,ORB,1.9000684462696784,462.5,LEO
