operator,total_historical,compliant_count,non_compliant_count,raw_compliance_rate,compliance_rate_smoothed,total_objects,inactive_on_orbit,inactive_ratio,operator_source,compliance_component,debris_component,reliability_score,confidence,reliability_tier,operator_display
kawasaki heavy industries,0,0,0,0.0,0.6603402383983336,1,1,1.0,ucs_operator,46.22381668788335,0.0,46.2,low,medium,Kawasaki Heavy Industries
centre national detudes spatiales cnesisrael space agency,0,0,0,0.0,0.6603402383983336,1,1,1.0,ucs_operator,46.22381668788335,0.0,46.2,low,medium,Centre National Detudes Spatiales Cnesisrael Space Agency
aoyama gakuin university in tokyo,0,0,0,0.0,0.6603402383983336,1,1,1.0,ucs_operator,46.22381668788335,0.0,46.2,low,medium,Aoyama Gakuin University In Tokyo
beihang universityapsco,0,0,0,0.0,0.6603402383983336,1,1,1.0,ucs_operator,46.22381668788335,0.0,46.2,low,medium,Beihang Universityapsco
spacety co ltd,0,0,0,0.0,0.6603402383983336,1,1,1.0,ucs_operator,46.22381668788335,0.0,46.2,low,medium,Spacety Co Ltd
us space forceother transaction authority,0,0,0,0.0,0.6603402383983336,1,1,1.0,ucs_operator,46.22381668788335,0.0,46.2,low,medium,Us Space Forceother Transaction Authority
eutelsat sa,3,0,3,0.0,0.3301701191991668,29,6,0.20689655172413793,ucs_operator,23.111908343941675,23.793103448275865,46.9,medium,medium,Eutelsat Sa
chinese amateur satellite camsat,5,0,5,0.0,0.24762758939937507,5,0,0.0,ucs_operator,17.333931257956255,30.0,47.3,medium,medium,Chinese Amateur Satellite Camsat
nor,5,1,4,0.2,0.37262758939937507,14,4,0.2857142857142857,satcat_owner_code,26.083931257956255,21.42857142857143,47.5,medium,medium,Nor
uk,34,9,25,0.2647058823529412,0.2967843436539189,133,14,0.10526315789473684,satcat_owner_code,20.774904055774325,26.842105263157894,47.6,high,medium,Uk
asra,2,0,2,0.0,0.3962041430390001,3,1,0.3333333333333333,satcat_owner_code,27.734290012730007,20.000000000000004,47.7,low,medium,Asra
kyushu institute of technology kit,2,0,2,0.0,0.3962041430390001,3,1,0.3333333333333333,ucs_operator,27.734290012730007,20.000000000000004,47.7,low,medium,Kyushu Institute Of Technology Kit
sing,6,1,5,0.16666666666666666,0.3312245239105556,17,3,0.17647058823529413,satcat_owner_code,23.185716673738895,24.705882352941174,47.9,medium,medium,Sing
grec,3,0,3,0.0,0.3301701191991668,7,1,0.14285714285714285,satcat_owner_code,23.111908343941675,25.714285714285715,48.8,medium,medium,Grec
argn,11,3,8,0.2727272727272727,0.3557871939425001,26,5,0.19230769230769232,satcat_owner_code,24.905103575975005,24.23076923076923,49.1,high,medium,Argn
italian defense ministry,1,0,1,0.0,0.49525517879875014,2,1,0.5,ucs_operator,34.66786251591251,15.0,49.7,low,medium,Italian Defense Ministry
ukr,6,2,4,0.3333333333333333,0.44233563502166673,8,3,0.375,satcat_owner_code,30.96349445151667,18.75,49.7,medium,medium,Ukr
paki,4,1,3,0.25,0.42586010217071435,9,3,0.3333333333333333,satcat_owner_code,29.810207151950003,20.000000000000004,49.8,medium,medium,Paki
peoples liberation army c41,2,0,2,0.0,0.3962041430390001,8,2,0.25,ucs_operator,27.734290012730007,22.5,50.2,low,medium,Peoples Liberation Army C41
zhuhai orbita aerospace science and technology co,3,0,3,0.0,0.3301701191991668,4,0,0.0,ucs_operator,23.111908343941675,30.0,53.1,medium,medium,Zhuhai Orbita Aerospace Science And Technology Co
sky and space global uk,3,0,3,0.0,0.3301701191991668,3,0,0.0,ucs_operator,23.111908343941675,30.0,53.1,medium,medium,Sky And Space Global Uk
zhuhai orbita control engineering co ltd,3,0,3,0.0,0.3301701191991668,8,0,0.0,ucs_operator,23.111908343941675,30.0,53.1,medium,medium,Zhuhai Orbita Control Engineering Co Ltd
russian satellite communications company,2,0,2,0.0,0.3962041430390001,14,2,0.14285714285714285,ucs_operator,27.734290012730007,25.714285714285715,53.4,low,medium,Russian Satellite Communications Company
geooptics inc,8,3,5,0.375,0.45282006501772737,8,2,0.25,ucs_operator,31.697404551240915,22.5,54.2,medium,medium,Geooptics Inc
georgia institute of technology,1,0,1,0.0,0.49525517879875014,3,1,0.3333333333333333,ucs_operator,34.66786251591251,20.000000000000004,54.7,low,medium,Georgia Institute Of Technology
national aeronautics and space administration nasaus geological survey,1,0,1,0.0,0.49525517879875014,3,1,0.3333333333333333,ucs_operator,34.66786251591251,20.000000000000004,54.7,low,medium,National Aeronautics And Space Administration Nasaus Geological Survey
swed,2,0,2,0.0,0.3962041430390001,13,1,0.07692307692307693,satcat_owner_code,27.734290012730007,27.692307692307693,55.4,low,medium,Swed
ministry of defense,21,8,13,0.38095238095238093,0.415875863133125,117,13,0.1111111111111111,ucs_operator,29.11131041931875,26.666666666666664,55.8,high,medium,Ministry Of Defense
dodus air force,2,0,2,0.0,0.3962041430390001,35,2,0.05714285714285714,ucs_operator,27.734290012730007,28.285714285714285,56.0,low,medium,Dodus Air Force
embratel star one,1,0,1,0.0,0.49525517879875014,7,2,0.2857142857142857,ucs_operator,34.66786251591251,21.42857142857143,56.1,low,medium,Embratel Star One
ger,50,22,28,0.44,0.45247208896594343,86,16,0.18604651162790697,satcat_owner_code,31.67304622761604,24.41860465116279,56.1,high,medium,Ger
indian space research organization isro,7,2,5,0.2857142857142857,0.39810207151950006,47,2,0.0425531914893617,ucs_operator,27.867145006365003,28.72340425531915,56.6,medium,medium,Indian Space Research Organization Isro
us air force,4,1,3,0.25,0.42586010217071435,28,3,0.10714285714285714,ucs_operator,29.810207151950003,26.78571428571429,56.6,medium,medium,Us Air Force
tsinghua university,2,1,1,0.5,0.5962041430390002,2,1,0.5,ucs_operator,41.734290012730014,15.0,56.7,low,medium,Tsinghua University
hispasat,1,0,1,0.0,0.49525517879875014,4,1,0.25,ucs_operator,34.66786251591251,22.5,57.2,low,medium,Hispasat
broadcasting satellite system corp,1,0,1,0.0,0.49525517879875014,4,1,0.25,ucs_operator,34.66786251591251,22.5,57.2,low,medium,Broadcasting Satellite System Corp
roshydromet  planeta,1,0,1,0.0,0.49525517879875014,4,1,0.25,ucs_operator,34.66786251591251,22.5,57.2,low,medium,Roshydromet  Planeta
aus,22,9,13,0.4090909090909091,0.43924082860780006,45,5,0.1111111111111111,satcat_owner_code,30.746858002546006,26.666666666666664,57.4,high,medium,Aus
gomspace aps,2,0,2,0.0,0.3962041430390001,3,0,0.0,ucs_operator,27.734290012730007,30.0,57.7,low,medium,Gomspace Aps
spacety aerospace companychangsha gaoxinqu tianyi research institute,2,0,2,0.0,0.3962041430390001,2,0,0.0,ucs_operator,27.734290012730007,30.0,57.7,low,medium,Spacety Aerospace Companychangsha Gaoxinqu Tianyi Research Institute
los alamos national laboratory,2,0,2,0.0,0.3962041430390001,3,0,0.0,ucs_operator,27.734290012730007,30.0,57.7,low,medium,Los Alamos National Laboratory
german aerospace center dlr,2,0,2,0.0,0.3962041430390001,4,0,0.0,ucs_operator,27.734290012730007,30.0,57.7,low,medium,German Aerospace Center Dlr
vtnm,2,0,2,0.0,0.3962041430390001,2,0,0.0,satcat_owner_code,27.734290012730007,30.0,57.7,low,medium,Vtnm
nkor,2,0,2,0.0,0.3962041430390001,3,0,0.0,satcat_owner_code,27.734290012730007,30.0,57.7,low,medium,Nkor
european space agency esa and 250 international scientific investigators,2,0,2,0.0,0.3962041430390001,4,0,0.0,ucs_operator,27.734290012730007,30.0,57.7,low,medium,European Space Agency Esa And 250 International Scientific Investigators
darpatethers unlimited,2,0,2,0.0,0.3962041430390001,2,0,0.0,ucs_operator,27.734290012730007,30.0,57.7,low,medium,Darpatethers Unlimited
tiger innovations,2,0,2,0.0,0.3962041430390001,2,0,0.0,ucs_operator,27.734290012730007,30.0,57.7,low,medium,Tiger Innovations
bel,2,0,2,0.0,0.3962041430390001,12,0,0.0,satcat_owner_code,27.734290012730007,30.0,57.7,low,medium,Bel
bigelow aerospace,2,0,2,0.0,0.3962041430390001,2,0,0.0,ucs_operator,27.734290012730007,30.0,57.7,low,medium,Bigelow Aerospace
isra,17,7,10,0.4117647058823529,0.44905103575975003,31,3,0.0967741935483871,satcat_owner_code,31.433572503182504,27.096774193548388,58.5,high,medium,Isra
air force satellite control network,1,0,1,0.0,0.49525517879875014,5,1,0.2,ucs_operator,34.66786251591251,24.0,58.7,low,medium,Air Force Satellite Control Network
directv inc,1,0,1,0.0,0.49525517879875014,10,2,0.2,ucs_operator,34.66786251591251,24.0,58.7,low,medium,Directv Inc
turk,12,5,7,0.4166666666666667,0.46540138101300005,36,4,0.1111111111111111,satcat_owner_code,32.57809667091,26.666666666666664,59.2,high,medium,Turk
us navy,1,0,1,0.0,0.49525517879875014,6,1,0.16666666666666666,ucs_operator,34.66786251591251,25.0,59.7,low,medium,Us Navy
eumetsat european organization for the exploitation of meteorological satellites,1,0,1,0.0,0.49525517879875014,12,2,0.16666666666666666,ucs_operator,34.66786251591251,25.0,59.7,low,medium,Eumetsat European Organization For The Exploitation Of Meteorological Satellites
national aeronautics and space administration nasa,5,2,3,0.4,0.49762758939937507,24,3,0.125,ucs_operator,34.83393125795625,26.25,61.1,medium,medium,National Aeronautics And Space Administration Nasa
sky perfect jsat corporation,1,0,1,0.0,0.49525517879875014,10,1,0.1,ucs_operator,34.66786251591251,27.0,61.7,low,medium,Sky Perfect Jsat Corporation
china meteorological administration,1,0,1,0.0,0.49525517879875014,10,1,0.1,ucs_operator,34.66786251591251,27.0,61.7,low,medium,China Meteorological Administration
echostar satellite services llc,1,0,1,0.0,0.49525517879875014,11,1,0.09090909090909091,ucs_operator,34.66786251591251,27.272727272727273,61.9,low,medium,Echostar Satellite Services Llc
telesat canada ltd bce inc,1,0,1,0.0,0.49525517879875014,12,1,0.08333333333333333,ucs_operator,34.66786251591251,27.5,62.2,low,medium,Telesat Canada Ltd Bce Inc
tbd,59,29,30,0.4915254237288136,0.49969388250314517,184,14,0.07608695652173914,satcat_owner_code,34.97857177522016,27.717391304347824,62.7,high,medium,Tbd
uae,5,2,3,0.4,0.49762758939937507,18,1,0.05555555555555555,satcat_owner_code,34.83393125795625,28.333333333333332,63.2,medium,medium,Uae
luxe,2,1,1,0.5,0.5962041430390002,4,1,0.25,satcat_owner_code,41.734290012730014,22.5,64.2,low,medium,Luxe
por,2,1,1,0.5,0.5962041430390002,4,1,0.25,satcat_owner_code,41.734290012730014,22.5,64.2,low,medium,Por
pry,1,0,1,0.0,0.49525517879875014,1,0,0.0,satcat_owner_code,34.66786251591251,30.0,64.7,low,medium,Pry
polytechnic university of madrid,1,0,1,0.0,0.49525517879875014,1,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,Polytechnic University Of Madrid
npl,1,0,1,0.0,0.49525517879875014,1,0,0.0,satcat_owner_code,34.66786251591251,30.0,64.7,low,medium,Npl
guat,1,0,1,0.0,0.49525517879875014,1,0,0.0,satcat_owner_code,34.66786251591251,30.0,64.7,low,medium,Guat
cri,1,0,1,0.0,0.49525517879875014,1,0,0.0,satcat_owner_code,34.66786251591251,30.0,64.7,low,medium,Cri
dfh satellite co ltd,1,0,1,0.0,0.49525517879875014,1,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,Dfh Satellite Co Ltd
defence research and development canada drdccanadian space agency,1,0,1,0.0,0.49525517879875014,1,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,Defence Research And Development Canada Drdccanadian Space Agency
planetary resources,1,0,1,0.0,0.49525517879875014,1,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,Planetary Resources
defense ministry,1,0,1,0.0,0.49525517879875014,6,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,Defense Ministry
robertsville middle school oak ridge tennessee,1,0,1,0.0,0.49525517879875014,1,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,Robertsville Middle School Oak Ridge Tennessee
fh aachen,1,0,1,0.0,0.49525517879875014,1,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,Fh Aachen
french south african institute of technologycape peninsula university of technology,1,0,1,0.0,0.49525517879875014,2,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,French South African Institute Of Technologycape Peninsula University Of Technology
earthisurrey satellite technology ltd,1,0,1,0.0,0.49525517879875014,1,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,Earthisurrey Satellite Technology Ltd
mda,1,0,1,0.0,0.49525517879875014,1,0,0.0,satcat_owner_code,34.66786251591251,30.0,64.7,low,medium,Mda
ghgsat inc,1,0,1,0.0,0.49525517879875014,6,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,Ghgsat Inc
cosmiac configurable space microsystems innovations  applications center,1,0,1,0.0,0.49525517879875014,1,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,Cosmiac Configurable Space Microsystems Innovations  Applications Center
gha,1,0,1,0.0,0.49525517879875014,1,0,0.0,satcat_owner_code,34.66786251591251,30.0,64.7,low,medium,Gha
skyfox labs,1,0,1,0.0,0.49525517879875014,1,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,Skyfox Labs
qiansheng exploration technology co ltd,1,0,1,0.0,0.49525517879875014,1,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,Qiansheng Exploration Technology Co Ltd
scientific production corporation joint stock creation of russian space agency,1,0,1,0.0,0.49525517879875014,1,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,Scientific Production Corporation Joint Stock Creation Of Russian Space Agency
space ok shanghai ok space co ltd,1,0,1,0.0,0.49525517879875014,1,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,Space Ok Shanghai Ok Space Co Ltd
university of aalborg,1,0,1,0.0,0.49525517879875014,1,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,University Of Aalborg
colorado state university,1,0,1,0.0,0.49525517879875014,1,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,Colorado State University
university of colorado,1,0,1,0.0,0.49525517879875014,1,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,University Of Colorado
nanyang technological university,1,0,1,0.0,0.49525517879875014,2,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,Nanyang Technological University
university of florida,1,0,1,0.0,0.49525517879875014,1,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,University Of Florida
university of illinois urbanachampaign,1,0,1,0.0,0.49525517879875014,1,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,University Of Illinois Urbanachampaign
university of michiganmontana university,1,0,1,0.0,0.49525517879875014,1,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,University Of Michiganmontana University
university of michigannasa earth science technology office,1,0,1,0.0,0.49525517879875014,8,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,University Of Michigannasa Earth Science Technology Office
university of montpellier,1,0,1,0.0,0.49525517879875014,1,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,University Of Montpellier
mus,1,0,1,0.0,0.49525517879875014,1,0,0.0,satcat_owner_code,34.66786251591251,30.0,64.7,low,medium,Mus
university of science and technology,1,0,1,0.0,0.49525517879875014,1,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,University Of Science And Technology
mng,1,0,1,0.0,0.49525517879875014,1,0,0.0,satcat_owner_code,34.66786251591251,30.0,64.7,low,medium,Mng
mmr,1,0,1,0.0,0.49525517879875014,1,0,0.0,satcat_owner_code,34.66786251591251,30.0,64.7,low,medium,Mmr
astranis,1,0,1,0.0,0.49525517879875014,1,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,Astranis
nasacalpoly,1,0,1,0.0,0.49525517879875014,1,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,Nasacalpoly
university of toronto institute for aerospace studies,1,0,1,0.0,0.49525517879875014,5,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,University Of Toronto Institute For Aerospace Studies
university of würzburg,1,0,1,0.0,0.49525517879875014,2,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,University Of Würzburg
mitlincoln laboratoryuniversity of massachusetts amherst,1,0,1,0.0,0.49525517879875014,1,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,Mitlincoln Laboratoryuniversity Of Massachusetts Amherst
armed forces,1,0,1,0.0,0.49525517879875014,7,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,Armed Forces
link space aerospace technology,1,0,1,0.0,0.49525517879875014,1,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,Link Space Aerospace Technology
lka,1,0,1,0.0,0.49525517879875014,1,0,0.0,satcat_owner_code,34.66786251591251,30.0,64.7,low,medium,Lka
us army space and missile defense commandarmy forces strategic command,1,0,1,0.0,0.49525517879875014,1,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,Us Army Space And Missile Defense Commandarmy Forces Strategic Command
us southern command,1,0,1,0.0,0.49525517879875014,1,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,Us Southern Command
aistech,1,0,1,0.0,0.49525517879875014,2,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,Aistech
vietnam national space center,1,0,1,0.0,0.49525517879875014,1,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,Vietnam National Space Center
von karman institute vki,1,0,1,0.0,0.49525517879875014,1,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,Von Karman Institute Vki
microspace rapid pvt ltd,1,0,1,0.0,0.49525517879875014,1,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,Microspace Rapid Pvt Ltd
massachusetts institute of technology,1,0,1,0.0,0.49525517879875014,1,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,Massachusetts Institute Of Technology
max valier school bolzano italy oskar von miller school merano italy,1,0,1,0.0,0.49525517879875014,1,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,Max Valier School Bolzano Italy Oskar Von Miller School Merano Italy
aalto university,1,0,1,0.0,0.49525517879875014,2,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,Aalto University
university of vigoalén space,1,0,1,0.0,0.49525517879875014,1,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,University Of Vigoalén Space
national academy of sciences,1,0,1,0.0,0.49525517879875014,1,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,National Academy Of Sciences
nasa langley research center,1,0,1,0.0,0.49525517879875014,1,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,Nasa Langley Research Center
ken,1,0,1,0.0,0.49525517879875014,1,0,0.0,satcat_owner_code,34.66786251591251,30.0,64.7,low,medium,Ken
chle,1,0,1,0.0,0.49525517879875014,3,0,0.0,satcat_owner_code,34.66786251591251,30.0,64.7,low,medium,Chle
spacequest ltd,1,0,1,0.0,0.49525517879875014,2,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,Spacequest Ltd
chinese academy of sciences caschina academy of space technology,1,0,1,0.0,0.49525517879875014,1,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,Chinese Academy Of Sciences Caschina Academy Of Space Technology
chinese academy of launch vehicle technology casic,1,0,1,0.0,0.49525517879875014,1,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,Chinese Academy Of Launch Vehicle Technology Casic
netherlands organization for applied scientific research nto consortium,1,0,1,0.0,0.49525517879875014,1,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,Netherlands Organization For Applied Scientific Research Nto Consortium
huaian youth comprehensive development base,1,0,1,0.0,0.49525517879875014,1,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,Huaian Youth Comprehensive Development Base
china centre for resources satellite data and application cresda,1,0,1,0.0,0.49525517879875014,7,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,China Centre For Resources Satellite Data And Application Cresda
china amateur satellite  camsat,1,0,1,0.0,0.49525517879875014,1,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,China Amateur Satellite  Camsat
imagesat international nvministry of defense,1,0,1,0.0,0.49525517879875014,1,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,Imagesat International Nvministry Of Defense
uga,1,0,1,0.0,0.49525517879875014,1,0,0.0,satcat_owner_code,34.66786251591251,30.0,64.7,low,medium,Uga
chengdu guoxing aerospace technology co ltd,1,0,1,0.0,0.49525517879875014,2,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,Chengdu Guoxing Aerospace Technology Co Ltd
indian space research organization isrocentre national detudes spatiales cnes,1,0,1,0.0,0.49525517879875014,2,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,Indian Space Research Organization Isrocentre National Detudes Spatiales Cnes
surrey satellite technology ltd,1,0,1,0.0,0.49525517879875014,6,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,Surrey Satellite Technology Ltd
california polytechnic state universitynasa jpl,1,0,1,0.0,0.49525517879875014,1,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,California Polytechnic State Universitynasa Jpl
technical university of munich,1,0,1,0.0,0.49525517879875014,1,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,Technical University Of Munich
bgd,1,0,1,0.0,0.49525517879875014,1,0,0.0,satcat_owner_code,34.66786251591251,30.0,64.7,low,medium,Bgd
bhut,1,0,1,0.0,0.49525517879875014,1,0,0.0,satcat_owner_code,34.66786251591251,30.0,64.7,low,medium,Bhut
teen satellite project,1,0,1,0.0,0.49525517879875014,1,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,Teen Satellite Project
iss,1,0,1,0.0,0.49525517879875014,5,0,0.0,satcat_owner_code,34.66786251591251,30.0,64.7,low,medium,Iss
center for atmospheric sciences hampton universitynasa,1,0,1,0.0,0.49525517879875014,1,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,Center For Atmospheric Sciences Hampton Universitynasa
institute of space sensor technology and planetary exploration,1,0,1,0.0,0.49525517879875014,1,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,Institute Of Space Sensor Technology And Planetary Exploration
canon electronics,1,0,1,0.0,0.49525517879875014,2,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,Canon Electronics
technical university delft,1,0,1,0.0,0.49525517879875014,1,0,0.0,ucs_operator,34.66786251591251,30.0,64.7,low,medium,Technical University Delft
zhejiang university,3,1,2,0.3333333333333333,0.4968367858658334,5,0,0.0,ucs_operator,34.778575010608336,30.0,64.8,medium,medium,Zhejiang University
ltu,5,2,3,0.4,0.49762758939937507,6,0,0.0,satcat_owner_code,34.83393125795625,30.0,64.8,medium,medium,Ltu
russian federal space agency,3,1,2,0.3333333333333333,0.4968367858658334,6,0,0.0,ucs_operator,34.778575010608336,30.0,64.8,medium,medium,Russian Federal Space Agency
national university of defense technology,3,1,2,0.3333333333333333,0.4968367858658334,3,0,0.0,ucs_operator,34.778575010608336,30.0,64.8,medium,medium,National University Of Defense Technology
fleet space technologies,3,1,2,0.3333333333333333,0.4968367858658334,4,0,0.0,ucs_operator,34.778575010608336,30.0,64.8,medium,medium,Fleet Space Technologies
eutelsat americas,0,0,0,0.0,0.6603402383983336,3,1,0.3333333333333333,ucs_operator,46.22381668788335,20.000000000000004,66.2,low,medium,Eutelsat Americas
sanya institute of remote sensing,1,1,0,1.0,0.7452551787987501,4,2,0.5,ucs_operator,52.16786251591251,15.0,67.2,low,medium,Sanya Institute Of Remote Sensing
china academy of space technology cast,6,3,3,0.5,0.5534467461327779,49,1,0.02040816326530612,ucs_operator,38.74127222929445,29.387755102040817,68.1,medium,medium,China Academy Of Space Technology Cast
optus communications parent singapore telecom,0,0,0,0.0,0.6603402383983336,4,1,0.25,ucs_operator,46.22381668788335,22.5,68.7,low,medium,Optus Communications Parent Singapore Telecom
spacety aerospace company,6,3,3,0.5,0.5534467461327779,6,0,0.0,ucs_operator,38.74127222929445,30.0,68.7,medium,medium,Spacety Aerospace Company
chinese ministry of national defense,6,3,3,0.5,0.5534467461327779,148,0,0.0,ucs_operator,38.74127222929445,30.0,68.7,medium,medium,Chinese Ministry Of National Defense
roc,13,8,5,0.6153846153846154,0.6238137946996876,24,3,0.125,satcat_owner_code,43.66696562897813,26.25,69.9,high,medium,Roc
aerospace corporation,9,5,4,0.5555555555555556,0.58175172626625,15,0,0.0,ucs_operator,40.7226208386375,30.0,70.7,medium,high,Aerospace Corporation
china satellite communication corp china satcom,0,0,0,0.0,0.6603402383983336,17,3,0.17647058823529413,ucs_operator,46.22381668788335,24.705882352941174,70.9,low,high,China Satellite Communication Corp China Satcom
nslcomm,2,1,1,0.5,0.5962041430390002,2,0,0.0,ucs_operator,41.734290012730014,30.0,71.7,low,high,Nslcomm
nihon university,2,1,1,0.5,0.5962041430390002,3,0,0.0,ucs_operator,41.734290012730014,30.0,71.7,low,high,Nihon University
zwe,2,1,1,0.5,0.5962041430390002,2,0,0.0,satcat_owner_code,41.734290012730014,30.0,71.7,low,high,Zwe
sgjp,2,1,1,0.5,0.5962041430390002,2,0,0.0,satcat_owner_code,41.734290012730014,30.0,71.7,low,high,Sgjp
us air force academy,2,1,1,0.5,0.5962041430390002,4,0,0.0,ucs_operator,41.734290012730014,30.0,71.7,low,high,Us Air Force Academy
astro digital,2,1,1,0.5,0.5962041430390002,6,0,0.0,ucs_operator,41.734290012730014,30.0,71.7,low,high,Astro Digital
spacepharma,2,1,1,0.5,0.5962041430390002,2,0,0.0,ucs_operator,41.734290012730014,30.0,71.7,low,high,Spacepharma
us army space and missile defense command,2,1,1,0.5,0.5962041430390002,8,0,0.0,ucs_operator,41.734290012730014,30.0,71.7,low,high,Us Army Space And Missile Defense Command
svk,2,1,1,0.5,0.5962041430390002,3,0,0.0,satcat_owner_code,41.734290012730014,30.0,71.7,low,high,Svk
arab satellite communications org asco,0,0,0,0.0,0.6603402383983336,7,1,0.14285714285714285,ucs_operator,46.22381668788335,25.714285714285715,71.9,low,high,Arab Satellite Communications Org Asco
spire global inc,124,76,48,0.6129032258064516,0.6140237851590158,135,4,0.02962962962962963,ucs_operator,42.9816649611311,29.11111111111111,72.1,high,high,Spire Global Inc
us,2588,1650,938,0.6375579598145286,0.6375843383694307,11281,407,0.03607836184735396,satcat_owner_code,44.630903685860154,28.917649144579382,73.5,high,high,Us
inmarsat ltd,0,0,0,0.0,0.6603402383983336,12,1,0.08333333333333333,ucs_operator,46.22381668788335,27.5,73.7,low,high,Inmarsat Ltd
tyvak nanosatellite systems inc,8,5,3,0.625,0.6346382468359092,12,0,0.0,ucs_operator,44.42467727851364,30.0,74.4,medium,high,Tyvak Nanosatellite Systems Inc
pol,9,6,3,0.6666666666666666,0.6650850595995834,15,1,0.06666666666666667,satcat_owner_code,46.55595417197084,28.0,74.6,medium,high,Pol
oneweb satellites,0,0,0,0.0,0.6603402383983336,589,3,0.0050933786078098476,ucs_operator,46.22381668788335,29.847198641765704,76.1,low,high,Oneweb Satellites
national aeronautics and space administration nasacentre national detudes spatiales cnesnoaaeumetsat,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,National Aeronautics And Space Administration Nasacentre National Detudes Spatiales Cnesnoaaeumetsat
national aeronautics and space administration nasaames research centerstanford university,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,National Aeronautics And Space Administration Nasaames Research Centerstanford University
tokyo metropolitan college of industrial technology,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Tokyo Metropolitan College Of Industrial Technology
