operator,total_historical,compliant_count,non_compliant_count,raw_compliance_rate,compliance_rate_smoothed,total_objects,inactive_on_orbit,inactive_ratio,operator_source,compliance_component,debris_component,reliability_score,confidence,reliability_tier,operator_display
chinese academy of sciences,0,0,0,0.0,0.6603402383983336,13,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Chinese Academy Of Sciences
china national space administration cnsanational centre for space studies cnes,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,China National Space Administration Cnsanational Centre For Space Studies Cnes
china national space administration cnsanational institute for space research brazil,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,China National Space Administration Cnsanational Institute For Space Research Brazil
chinas ministry of land and resources ministry of environmental protection and ministry of agriculture,0,0,0,0.0,0.6603402383983336,8,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Chinas Ministry Of Land And Resources Ministry Of Environmental Protection And Ministry Of Agriculture
china aerospace science and technology corporation casc,0,0,0,0.0,0.6603402383983336,3,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,China Aerospace Science And Technology Corporation Casc
centre national detudes spatiales cneseuropean space agency esa,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Centre National Detudes Spatiales Cneseuropean Space Agency Esa
centre national detudes spatiales cnesagenzia spaziale italiana asi,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Centre National Detudes Spatiales Cnesagenzia Spaziale Italiana Asi
centre for research in satellite technology crest,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Centre For Research In Satellite Technology Crest
emirates institution for advanced science  technology eiast,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Emirates Institution For Advanced Science  Technology Eiast
egyptian space agency,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Egyptian Space Agency
egyptian radio and tv union,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Egyptian Radio And Tv Union
ecu,0,0,0,0.0,0.6603402383983336,2,0,0.0,satcat_owner_code,46.22381668788335,30.0,76.2,low,high,Ecu
