operator_reliability_score,operator_compliance_rate,ml_risk_score,final_risk_tier
79.2,0.7371820750908357,0.241597163246788,LOW
73.5,0.6375579598145286,0.2545927866155338,LOW
79.2,0.7371820750908357,0.2415739509120436,LOW
73.5,0.6375579598145286,0.4088823429532867,MEDIUM
73.5,0.6375579598145286,0.4070886930313194,MEDIUM
79.2,0.7371820750908357,0.212314022119577,LOW
79.2,0.7371820750908357,0.2248983263272201,LOW
79.2,0.7371820750908357,0.2237614349201402,LOW
79.2,0.7371820750908357,0.2244880400901139,LOW
79.2,0.7371820750908357,0.2246223460448168,LOW
79.2,0.7371820750908357,0.2227364545956992,LOW
73.5,0.6375579598145286,0.3272409785736384,LOW
73.5,0.6375579598145286,0.361974227211811,LOW
73.5,0.6375579598145286,0.5648748568704676,MEDIUM
79.2,0.7371820750908357,0.2160520400539619,LOW
79.2,0.7371820750908357,0.2366939921701976,LOW
73.5,0.6375579598145286,0.2497202646779291,LOW
73.5,0.6375579598145286,0.2499739984215285,LOW
79.2,0.7371820750908357,0.219444709468206,LOW
73.5,0.6375579598145286,0.4163772976281321,MEDIUM
73.5,0.6375579598145286,0.4071701895903363,MEDIUM
79.2,0.7371820750908357,0.2480648905716782,LOW
73.5,0.6375579598145286,0.326683687303733,LOW
73.5,0.6375579598145286,0.2580768950451079,LOW
73.5,0.6375579598145286,0.2563164613165227,LOW
79.2,0.7371820750908357,0.2416426214038664,LOW
79.2,0.7371820750908357,0.2410475483839415,LOW
73.5,0.6375579598145286,0.3477904317018039,LOW
79.2,0.7371820750908357,0.2414649609563212,LOW
73.5,0.6375579598145286,0.3870697057253934,LOW
79.2,0.7371820750908357,0.2376985353420743,LOW
73.5,0.6375579598145286,0.3392185880572116,LOW
73.5,0.6375579598145286,0.3609245141650889,LOW
79.2,0.7371820750908357,0.4721197097246241,MEDIUM
79.2,0.7371820750908357,0.241334373493125,LOW
79.2,0.7371820750908357,0.2113722610611931,LOW
79.2,0.7371820750908357,0.2409787822023896,LOW
73.5,0.6375579598145286,0.3388792841053386,LOW
79.2,0.7371820750908357,0.234826093295307,LOW
79.2,0.7371820750908357,0.2109698758705983,LOW
73.5,0.6375579598145286,0.3861975689030331,LOW
73.5,0.6375579598145286,0.3767986814510574,LOW
79.2,0.7371820750908357,0.2375994760704405,LOW
79.2,0.7371820750908357,0.2172392827013665,LOW
79.2,0.7371820750908357,0.2126546680517675,LOW
79.2,0.7371820750908357,0.244851865441652,LOW
79.2,0.7371820750908357,0.2375603209415193,LOW
73.5,0.6375579598145286,0.2566265891822767,LOW
73.5,0.6375579598145286,0.3505362286849325,LOW
79.2,0.7371820750908357,0.2416153123640888,LOW
73.5,0.6375579598145286,0.2544535540166438,LOW
79.2,0.7371820750908357,0.2353749577242122,LOW
79.2,0.7371820750908357,0.2120443874251271,LOW
73.5,0.6375579598145286,0.3475537645406885,LOW
79.2,0.7371820750908357,0.2408374958633315,LOW
79.2,0.7371820750908357,0.222641565663161,LOW
73.5,0.6375579598145286,0.2541596244080698,LOW
73.5,0.6375579598145286,0.2424156685864991,LOW
79.2,0.7371820750908357,0.2411564103020441,LOW
73.5,0.6375579598145286,0.3750657008122023,LOW
73.5,0.6375579598145286,0.3760400760755106,LOW
73.5,0.6375579598145286,0.2629533096463022,LOW
79.2,0.7371820750908357,0.2411253080212287,LOW
79.2,0.7371820750908357,0.2118067900038951,LOW
79.2,0.7371820750908357,0.2374244640751777,LOW
73.5,0.6375579598145286,0.3386493797539165,LOW
73.5,0.6375579598145286,0.3535738821031873,LOW
79.2,0.7371820750908357,0.2410451386201105,LOW
79.2,0.7371820750908357,0.2111763814176012,LOW
73.5,0.6375579598145286,0.3810597617357945,LOW
73.5,0.6375579598145286,0.3810817816347019,LOW
73.5,0.6375579598145286,0.3815002082570867,LOW
79.2,0.7371820750908357,0.2408249813511699,LOW
79.2,0.7371820750908357,0.2222723959387355,LOW
79.2,0.7371820750908357,0.2168011997189131,LOW
73.5,0.6375579598145286,0.3390966978903095,LOW
73.5,0.6375579598145286,0.2497892139137132,LOW
73.5,0.6375579598145286,0.2464088795897104,LOW
79.2,0.7371820750908357,0.2559978251290543,LOW
73.5,0.6375579598145286,0.3930645511459681,LOW
73.5,0.6375579598145286,0.3915640305032599,LOW
79.2,0.7371820750908357,0.2407926415419173,LOW
79.2,0.7371820750908357,0.2545410736392968,LOW
73.5,0.6375579598145286,0.3394139871800213,LOW
73.5,0.6375579598145286,0.2534466153132334,LOW
73.5,0.6375579598145286,0.4270756263527331,MEDIUM
79.2,0.7371820750908357,0.2396835504362247,LOW
79.2,0.7371820750908357,0.2685347987404854,LOW
79.2,0.7371820750908357,0.212444998590074,LOW
79.2,0.7371820750908357,0.2407305162429183,LOW
79.2,0.7371820750908357,0.2348193483252189,LOW
73.5,0.6375579598145286,0.4114149898444441,MEDIUM
73.5,0.6375579598145286,0.4140923836028631,MEDIUM
73.5,0.6375579598145286,0.3183101994757807,LOW
79.2,0.7371820750908357,0.2109716220915046,LOW
73.5,0.6375579598145286,0.3128801457017818,LOW
73.5,0.6375579598145286,0.3147315135775568,LOW
73.5,0.6375579598145286,0.2504630465892731,LOW
73.5,0.6375579598145286,0.2547966096429247,LOW
73.5,0.6375579598145286,0.3604336493317251,LOW
73.5,0.6375579598145286,0.3603032315168222,LOW
73.5,0.6375579598145286,0.9904040568914056,HIGH
79.2,0.7371820750908357,0.2188949797117146,LOW
73.5,0.6375579598145286,0.3682814079335674,LOW
73.5,0.6375579598145286,0.3653641555018263,LOW
73.5,0.6375579598145286,0.368042042759314,LOW
79.2,0.7371820750908357,0.2544490977150133,LOW
73.5,0.6375579598145286,0.3471214946657134,LOW
73.5,0.6375579598145286,0.3593750003548591,LOW
79.2,0.7371820750908357,0.2379485657288083,LOW
73.5,0.6375579598145286,0.254850213462885,LOW
79.2,0.7371820750908357,0.2373545686778994,LOW
